JYT89753 MIXIO EP CBOM,,,
Material,UP,Qty,Total Value
1CAP005357,0.00363 ,11.033 ,0.040 
1CAP007179,0.00453 ,11.033 ,0.050 
1CAP009701,0.09875 ,8.000 ,0.790 
1CAP012005,0.00997 ,2.006 ,0.020 
1DDE007658,0.06000 ,28.000 ,1.680 
1RES002486,0.00499 ,10.030 ,0.050 
1RES005338,0.00249 ,4.012 ,0.010 
1RES005340,0.00156 ,51.153 ,0.080 
1RES007394,0.00332 ,3.009 ,0.010 
1TRA003205,0.07000 ,1.000 ,0.070 
1TRA008357,0.09000 ,1.000 ,0.090 
28050-12751,1.32375 ,8.000 ,10.590 
28070-00281,0.03375 ,8.000 ,0.270 
28100-00054,0.36875 ,8.000 ,2.950 
29220704AA,0.00332 ,3.009 ,0.010 
29220705AA,0.00299 ,10.030 ,0.030 
29451001SA,0.10900 ,10.000 ,1.090 
29714700KA,4.37000 ,2.000 ,8.740 
HUA17051,0.00332 ,3.009 ,0.010 
HUA18069,0.00299 ,10.030 ,0.030 
HUA21742,0.05900 ,10.000 ,0.590 
HUA21860,0.00299 ,10.030 ,0.030 
HUA23722,0.04088 ,10.030 ,0.410 
HUA24284,0.43125 ,8.000 ,3.450 
HUA25484,0.00875 ,8.000 ,0.070 
HUA29327,0.43000 ,1.000 ,0.430 
HUA31517,0.02810 ,11.033 ,0.310 
HUA38602,0.85743 ,2.006 ,1.720 
HUA38622,0.13958 ,2.006 ,0.280 
HUA41232,2.72000 ,2.000 ,5.440 
HUA42312,0.03500 ,16.000 ,0.560 
HUA43618,0.07750 ,24.000 ,1.860 
HUA44497,1.52625 ,8.000 ,12.210 
RF3680,0.02375 ,8.000 ,0.190 
RF5224,0.00997 ,1.003 ,0.010 
SZ1DX2009,0.06900 ,10.000 ,0.690 
SZ1TB145,0.04431 ,18.054 ,0.800 
SZ1TF1005,0.05800 ,10.000 ,0.580 
TME06327,5.20000 ,1.000 ,5.200 
TME07650,0.65000 ,8.000 ,5.200 
TME13325,2.96600 ,10.000 ,29.660 
TME14271,0.08125 ,8.000 ,0.650 
TME18598,1.91000 ,1.000 ,1.910 
